TAZID,ALLEMP_Max,ALLEMP_Min,AVGINCOME_Max,AVGINCOME_Min,Enrol_Elem_Max,Enrol_Elem_Min,Enrol_High_Max,Enrol_High_Min,Enrol_Midl_Max,Enrol_Midl_Min,FM_AGRI_Max,FM_AGRI_Min,FM_CONS_Max,FM_CONS_Min,FM_MING_Max,FM_MING_Min,FOOD_Max,FOOD_Min,GVED_Max,GVED_Min,HBJ_Max,HBJ_Min,HHPOP_Max,HHPOP_Min,HHSIZE_Max,HHSIZE_Min,HLTH_Max,HLTH_Min,INDEMP_Max,INDEMP_Min,MANU_Max,MANU_Min,OFFI_Max,OFFI_Min,OTHEMP_Max,OTHEMP_Min,OTHR_Max,OTHR_Min,RETEMP_Max,RETEMP_Min,RETL_Max,RETL_Min,TOTEMP_Max,TOTEMP_Min,TOTEMP_Range,TOTHH_Max,TOTHH_Min,TOTHH_Range,WSLE_Max,WSLE_Min,CO_TAZID,CO_FIPS,CO_NAME
1826,16090.12926,10527.53362,149495,149495,0,0,0,0,0,0,0,0,1040.129257,625.5336242,0,0,557,190,761,482,0,0,0,0,0,0,872,460,96,67,3,2,5715,4000,13570,9405,6222,4463,1384,430,827,240,15050,9902,5148,0,0,0,93,65,350921,35,SALT LAKE
668,6714.417828,1484.746701,97584,97584,0,0,0,0,0,0,11.94705882,7.005173688,413.3957956,311.6523714,0,0,823,159,322,77,126.0749732,107.0891561,6999.162039,5859.610983,2.373401844,2.328013899,1529,176,440,21,59,19,938,218,4202,848,1413,377,1521,190,698,31,6163,1059,5104,2949,2517,432,381,2,110087,11,DAVIS
2648,7397.326325,2174.252902,152001,152001,0,0,0,0,0,0,0,0,353.3263248,107.252902,0,0,55,24,2282,24,0,0,0,0,0,0,162,6,1745,1701,1701,1688,1054,136,5188,338,1690,172,111,28,56,4,7044,2067,4977,0,0,0,44,13,490432,49,UTAH
1577,9551.054653,4547.157623,41323,41323,0,0,0,0,0,0,0,0,475.0847485,345.1746473,0,0,33,6,128,75,97.96990436,96.98297574,2481.19149,2443.432419,1.840646506,1.830286456,130,13,1123,100,952,99,3224,2302,5053,3269,1571,879,2802,736,2769,730,8978,4105,4873,1348,1335,13,171,1,350672,35,SALT LAKE
1873,7332.007549,2263.904659,62143,62143,0,0,0,0,0,0,0,0,460.9995819,158.909749,0,0,1276,282,65,7,33.00796699,28.99491027,1093.307595,969.7560851,2.424185355,2.406342643,206,72,21,17,18,17,1923,687,4978,1750,2784,984,1839,309,563,27,6838,2076,4762,451,403,48,3,0,350968,35,SALT LAKE
720,10227.35881,5134.920494,45532,45532,0,0,0,0,0,0,1.000739098,0,760.286416,443.9277476,0,0,1529,471,927,284,86.07165814,60.99274587,4845.918641,3438.641281,2.403729485,2.409699566,908,96,30,6,21,4,1558,600,6008,3038,2615,2058,3342,1586,1813,1115,9380,4630,4750,2016,1427,589,9,2,110139,11,DAVIS
1119,4947.86406,149.6016824,50921,50921,0,0,0,0,0,0,0,0,251.8669779,16.60168237,0,0,118,0,0,0,18.99708212,0,671.3519783,0,2.533403692,0,189,0,119,32,101,32,3526,42,4425,100,710,58,133,1,15,1,4677,133,4544,265,0,265,18,0,350214,35,SALT LAKE
2149,11325.06043,6883.960425,148008,148008,0,0,1,1,0,0,0,0,615.0604262,606.960425,0,0,1639,46,3069,2111,0,0,0,0,0,0,4972,3979,24,0,21,0,857,132,9039,6231,141,9,1647,46,8,0,10710,6277,4433,0,0,0,3,0,351244,35,SALT LAKE
1897,9231.853162,4689.699981,45830,45830,0,0,0,0,0,0,0,0,546.8804935,324.6811492,0,0,217,71,602,483,88.97266825,66.0188319,2866.022325,2120.520408,2.330099451,2.322585332,343,155,69,40,69,40,5471,2466,7757,3993,1341,889,770,266,553,195,8596,4299,4297,1230,913,317,0,0,350992,35,SALT LAKE
1114,5978.757294,1507.138075,50921,50921,0,0,0,0,0,0,0,0,313.7662445,114.1280883,0,0,32,7,7,3,50.9910491,35.00998661,1655.264107,1115.976524,2.364663011,2.339573426,10,4,324,117,48,32,3526,669,5162,1183,1619,507,128,58,96,51,5614,1358,4256,700,477,223,276,85,350209,35,SALT LAKE
